# java_symbol	go_surface	grpc_rpc	node_api	python_api	status	notes
Pattern.similar(double)	(*Pattern).Similar(sim float64)	Find, FindOnScreen	Pattern().similar()	Pattern().similar()	parity-ready	Similarity threshold semantics aligned.
Pattern.exact()	(*Pattern).Exact()	Find, FindOnScreen	Pattern().exact()	Pattern().exact()	parity-ready	Exact matching path preserved.
Pattern.targetOffset(dx,dy)	(*Pattern).TargetOffset(dx,dy)	Find, FindOnScreen	Pattern().targetOffset(dx,dy)	Pattern().target_offset(dx,dy)	parity-ready	Target-point offset supported.
Pattern.resize(factor)	(*Pattern).Resize(factor)	Find, FindOnScreen	Pattern().resize(factor)	Pattern().resize(factor)	parity-ready	Scale intent mapped into matcher request.
Finder.find(Pattern)	(*Finder).Find(pattern), (*Finder).Iterate(pattern)	Find	Finder.find(...) via Region/Screen	Region.find(...)	parity-ready	Go keeps explicit single-match returns and also exposes a no-throw compatibility iterator prep path.
Finder.findAll(Pattern)	(*Finder).FindAll(pattern), (*Finder).IterateAll(pattern)	FindAll	Region.findAll(...)	Region.find_all(...)	parity-ready	Deterministic ordering documented, with additive iterator preparation for SikuliX-style traversal.
Finder.hasNext()	(*Finder).HasNext()	n/a	n/a	n/a	parity-ready	Compatibility iterator exposes SikuliX-style traversal over the most recent match set.
Finder.next()	(*Finder).Next()	n/a	n/a	n/a	parity-ready	Compatibility iterator advances through the prepared match set without raising FindFailed on exhaustion.
Finder.exists(Pattern, timeout)	(*Finder).Exists(pattern,timeout)	ExistsOnScreen	Region.exists(...)	Region.exists(...)	parity-ready	Timeout polling semantics aligned.
Finder.wait(Pattern, timeout)	(*Finder).Wait(pattern,timeout)	WaitOnScreen	Region.wait(...)	Region.wait(...)	parity-ready	Wait semantics exposed across clients.
Finder.waitVanish(Pattern, timeout)	(*Finder).WaitVanish(pattern,timeout)	WaitOnScreen + negative check	Region.waitVanish(...)	Region.wait_vanish(...)	partial	Client-side vanish wrappers depend on repeated polling behavior.
